Name,Ext,Runner,RunnerCmdFormat,Compiler,CompilerCmdFormat,BinaryToCompile,BinaryToExecute,PostBuild,PostBuildCmdFormat,PreBuild,PreBuildCmdFormat,Rebuild,Clean,CleanCmdFormat,Debugger,DebuggerCmdFormat,FilesToDeleteOnClean,RebuildCmdFormat,RunnerName,SourceBasePath,ConfigSettings,CompilerSettings,MiscSettings
Ada,".adb,.ada,.ads",,,gnatmake.exe,"$(Compiler) -q ""$(FQN)""",$(FILE_BASE).exe,$(FILE_BASE).exe,,,,,,,,,,"$(FILE_BASE).exe,$(FILE_BASE).exp,$(FILE_BASE).lib,$(FILE_BASE).o,$(FILE_BASE).obj,$(FILE_BASE).nl,$(FILE_BASE).ilk,$(FILE_BASE).pdb,$(FILE_BASE).ali",,,,0,0,0
Assembly MASM,".asm,.MASM",,,C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\VC\Tools\MSVC\14.16.27023\bin\Hostx64\x64\ml64.exe,"$(c) ""$(FQN)""  /link /subsystem:console /defaultlib:kernel32.lib /defaultlib:user32.lib /entry:main",$(FILE_BASE).exe,$(FILE_BASE).exe,,,,,,,,,,"$(FILE_BASE).exe,$(FILE_BASE).exp,$(FILE_BASE).lib,$(FILE_BASE).o,$(FILE_BASE).obj,$(FILE_BASE).nl,$(FILE_BASE).ilk,$(FILE_BASE).pdb,$(FILE_BASE).ali",,,,0,0,0
Assembly NASM,".asm,.NASM",,,C:\nasm\nasm.exe,"'$(Compiler) -fwin32 ""$(FQN)""",$(FILE_BASE).exe,$(FILE_BASE).exe,C:\nasm\link,"$(PostBuild)  /subsystem:console /nodefaultlib /entry:main ""$(FILE_DIR_AND_BASE).obj""",,,,,,,,"$(FILE_BASE).exe,$(FILE_BASE).exp,$(FILE_BASE).lib,$(FILE_BASE).o,$(FILE_BASE).obj,$(FILE_BASE).nl,$(FILE_BASE).ilk,$(FILE_BASE).pdb,$(FILE_BASE).ali",,,,0,0,0
AutoHotKey,.ahk,C:\Program Files\AutoHotkey\AutoHotkey.exe,"$(Runner) ""$(FQN)""",,"$(Compiler) ""$(FQN)""",$(FILE_BASE).exe,$(FILE_BASE).exe,,,,,,,,,,'$(FILE_BASE).exe',,,,0,0,0
AutoIt3,.au3,C:\Program Files (x86)\AutoIt3\AutoIt3.exe,"$(Runner) ""$(FQN)""",C:\Program Files (x86)\AutoIt3\Aut2Exe\Aut2exe_x64.exe,"$(Compiler)  /in ""$(FQN)"" /out ""$(BinaryToCompile)"" $(IconFileArg) /x64 /gui /comp 2",$(FILE_BASE).exe,$(FILE_BASE).exe,,,,,,,,,,"$(FILE_BASE).exe,$(FILE_BASE).exp,$(FILE_BASE).lib,$(FILE_BASE).o,$(FILE_BASE).obj,$(FILE_BASE).nl,$(FILE_BASE).ilk,$(FILE_BASE).pdb,$(FILE_BASE).ali",,,,0,0,0
Awk,.awk,C:\Program Files (x86)\GnuWin32\bin\gawk.exe,"'$(Runner) -f ""$(FQN)""",,"$(Compiler) ""$(FQN)""",$(FILE_BASE).exe,$(FILE_BASE).exe,,,,,,,,,,"$(FILE_BASE).exe,$(FILE_BASE).exp,$(FILE_BASE).lib,$(FILE_BASE).o,$(FILE_BASE).obj,$(FILE_BASE).nl,$(FILE_BASE).ilk,$(FILE_BASE).pdb,$(FILE_BASE).ali",,,,0,0,0
Bash Script,.sh,$(GNUstep)msys\1.0\bin\sh.exe,"'$(Runner) --login -i ""$(UNIX_DIR)/$(FileName)""",,"$(Compiler) ""$(FQN)""",$(FILE_BASE).exe,$(FILE_BASE).exe,,,,,,,,,,"$(FILE_BASE).exe,$(FILE_BASE).exp,$(FILE_BASE).lib,$(FILE_BASE).o,$(FILE_BASE).obj,$(FILE_BASE).nl,$(FILE_BASE).ilk,$(FILE_BASE).pdb,$(FILE_BASE).ali",,,,0,0,0
C,.c,,"$(Runner) ""$(FQN)""",$(MinGw)\bin\gcc.exe,"'$(Compiler) $(DebugBuild) -c ""$(FQN)""",$(FILE_BASE).exe,$(FILE_BASE).exe,,,,,,,,,,"$(FILE_BASE).exe,$(FILE_BASE).exp,$(FILE_BASE).lib,$(FILE_BASE).o,$(FILE_BASE).obj,$(FILE_BASE).nl,$(FILE_BASE).ilk,$(FILE_BASE).pdb,$(FILE_BASE).ali",,,,0,0,0
C++,".cpp,.cxx",,"$(Runner) ""$(FQN)""",$(MinGw)\bin\g++.exe,"'$(Compiler) $(DebugBuild) -c ""$(FQN)""",$(FILE_BASE).exe,$(FILE_BASE).exe,,,,,,,,,,"$(FILE_BASE).exe,$(FILE_BASE).exp,$(FILE_BASE).lib,$(FILE_BASE).o,$(FILE_BASE).obj,$(FILE_BASE).nl,$(FILE_BASE).ilk,$(FILE_BASE).pdb,$(FILE_BASE).ali",,,,0,0,0
Clojure,.clj,C:\ProgramData\chocolatey\bin\lein.bat,'$(Runner) run $(FILE_BASE),,"$(Compiler) ""$(FQN)""",$(FILE_BASE).exe,$(FILE_BASE).exe,,,,,,,,,,"$(FILE_BASE).exe,$(FILE_BASE).exp,$(FILE_BASE).lib,$(FILE_BASE).o,$(FILE_BASE).obj,$(FILE_BASE).nl,$(FILE_BASE).ilk,$(FILE_BASE).pdb,$(FILE_BASE).ali",,,,0,0,0
